Entity,Day,Daily new confirmed cases of COVID-19
Indonesia,22-août-21,12408
Indonesia,23-août-21,9604
Indonesia,24-août-21,19106
Indonesia,25-août-21,18671
Indonesia,26-août-21,16899
Indonesia,27-août-21,12618
Indonesia,28-août-21,10050
Indonesia,29-août-21,7427
Indonesia,30-août-21,5436
Indonesia,31-août-21,10534
Indonesia,1-sept.-21,10337
Indonesia,2-sept.-21,8955
Indonesia,3-sept.-21,7797
Indonesia,4-sept.-21,6727
Indonesia,5-sept.-21,5403
Indonesia,6-sept.-21,4413
Indonesia,7-sept.-21,7201
Indonesia,8-sept.-21,6731
Indonesia,9-sept.-21,5990
Indonesia,10-sept.-21,5376
Indonesia,11-sept.-21,5001
Indonesia,12-sept.-21,3779
Indonesia,13-sept.-21,2577
Indonesia,14-sept.-21,4128
Indonesia,15-sept.-21,3948
Indonesia,16-sept.-21,3145
Indonesia,17-sept.-21,3835
Indonesia,18-sept.-21,3385
Indonesia,19-sept.-21,2234
Indonesia,20-sept.-21,1932
Indonesia,21-sept.-21,3263
Indonesia,22-sept.-21,2720
Indonesia,23-sept.-21,2881
Indonesia,24-sept.-21,2557
Indonesia,25-sept.-21,2137
Indonesia,26-sept.-21,1760
Indonesia,27-sept.-21,1390
Indonesia,28-sept.-21,2057
Indonesia,29-sept.-21,1954
Indonesia,30-sept.-21,1690
Indonesia,1-oct.-21,1624
Indonesia,2-oct.-21,1414
Indonesia,3-oct.-21,1142
Indonesia,4-oct.-21,922
Indonesia,5-oct.-21,1404
Indonesia,6-oct.-21,1484
Indonesia,7-oct.-21,1393
Indonesia,8-oct.-21,1384
Indonesia,9-oct.-21,1167
Indonesia,10-oct.-21,894
Indonesia,11-oct.-21,620
Indonesia,12-oct.-21,1261
Indonesia,13-oct.-21,1233
Indonesia,14-oct.-21,1053
Indonesia,15-oct.-21,915
Indonesia,16-oct.-21,997
Indonesia,17-oct.-21,747
Indonesia,18-oct.-21,626
Indonesia,19-oct.-21,903
Indonesia,20-oct.-21,914
Indonesia,21-oct.-21,633
Indonesia,22-oct.-21,760
Indonesia,23-oct.-21,802
Indonesia,24-oct.-21,623
Indonesia,25-oct.-21,460
Indonesia,26-oct.-21,611
Indonesia,27-oct.-21,719
Indonesia,28-oct.-21,723
Indonesia,29-oct.-21,683
Indonesia,30-oct.-21,620
Indonesia,31-oct.-21,523
Indonesia,1-nov.-21,403
Indonesia,2-nov.-21,612
Indonesia,3-nov.-21,801
Indonesia,4-nov.-21,628
Indonesia,5-nov.-21,518
Indonesia,6-nov.-21,401
Indonesia,7-nov.-21,444
Indonesia,8-nov.-21,244
Indonesia,9-nov.-21,434
Indonesia,10-nov.-21,480
Indonesia,11-nov.-21,435
Indonesia,12-nov.-21,399
Indonesia,13-nov.-21,359
Indonesia,14-nov.-21,339
